"","Year","WeekNum","TotalCost","DigitalCost","TVCost","RadioCost","BillboardCost","OpenHouseCost","OutdoorCost","Inquiries","inquirydma","mediadma"
"1",2017,26,10456.5,NA,4541,5915.5,NA,NA,NA,6,"509","509"
"2",2017,26,7544.2,NA,6450,NA,1094.2,NA,NA,2,"515","515"
"3",2017,26,23306,NA,8514,14792,NA,NA,NA,6,"527","527"
"4",2017,26,25159.1,NA,16195,7895.5,1068.6,NA,NA,8,"529","529"
"5",2017,26,10586.5,NA,4343,6243.5,NA,NA,NA,3,"588","588"
"6",2017,26,36949,NA,31002,5947,NA,NA,NA,17,"602","602"
"7",2017,27,11648.5,1192,4541,5915.5,NA,NA,NA,5,"509","509"
"8",2017,27,7544.2,NA,6450,NA,1094.2,NA,NA,2,"515","515"
"9",2017,27,25094,1788,8514,14792,NA,NA,NA,11,"527","527"
"10",2017,27,27841.1,2682,16195,7895.5,1068.6,NA,NA,6,"529","529"
"11",2017,27,11629.5,1043,4343,6243.5,NA,NA,NA,2,"588","588"
"12",2017,27,42313,5364,31002,5947,NA,NA,NA,5,"602","602"
"13",2017,28,NA,NA,NA,NA,NA,NA,NA,2,"505",NA
"14",2017,28,1192,1192,NA,NA,NA,NA,NA,12,"509","509"
"15",2017,28,1094.2,NA,NA,NA,1094.2,NA,NA,3,"515","515"
"16",2017,28,1788,1788,NA,NA,NA,NA,NA,6,"527","527"
"17",2017,28,3750.6,2682,NA,NA,1068.6,NA,NA,10,"529","529"
"18",2017,28,1043,1043,NA,NA,NA,NA,NA,7,"588","588"
"19",2017,28,5364,5364,NA,NA,NA,NA,NA,5,"602","602"
"20",2017,28,1192,1192,NA,NA,NA,NA,NA,3,"649","649"
"21",2017,29,NA,NA,NA,NA,NA,NA,NA,2,"505",NA
"22",2017,29,1192,1192,NA,NA,NA,NA,NA,14,"509","509"
"23",2017,29,1094.2,NA,NA,NA,1094.2,NA,NA,5,"515","515"
"24",2017,29,1788,1788,NA,NA,NA,NA,NA,7,"527","527"
"25",2017,29,3750.6,2682,NA,NA,1068.6,NA,NA,5,"529","529"
"26",2017,29,NA,NA,NA,NA,NA,NA,NA,1,"582",NA
"27",2017,29,1043,1043,NA,NA,NA,NA,NA,14,"588","588"
"28",2017,29,5364,5364,NA,NA,NA,NA,NA,12,"602","602"
"29",2017,29,1192,1192,NA,NA,NA,NA,NA,1,"649","649"
"30",2017,30,NA,NA,NA,NA,NA,NA,NA,6,"505",NA
"31",2017,30,1192,1192,NA,NA,NA,NA,NA,10,"509","509"
"32",2017,30,1094.2,NA,NA,NA,1094.2,NA,NA,1,"515","515"
"33",2017,30,1788,1788,NA,NA,NA,NA,NA,3,"527","527"
"34",2017,30,3750.6,2682,NA,NA,1068.6,NA,NA,5,"529","529"
"35",2017,30,1043,1043,NA,NA,NA,NA,NA,4,"588","588"
"36",2017,30,5364,5364,NA,NA,NA,NA,NA,12,"602","602"
"37",2017,30,1192,1192,NA,NA,NA,NA,NA,1,"649","649"
"38",2017,31,NA,NA,NA,NA,NA,NA,NA,1,"505",NA
"39",2017,31,11946.5,1490,4541,5915.5,NA,NA,NA,4,"509","509"
"40",2017,31,32065.25,NA,6450,24247.5,1367.75,NA,NA,3,"515","515"
"41",2017,31,24653.5,2235,8514,13904.5,NA,NA,NA,27,"527","527"
"42",2017,31,27663.75,3352.5,15080,7895.5,1335.75,NA,NA,11,"529","529"
"43",2017,31,NA,NA,NA,NA,NA,NA,NA,2,"582",NA
"44",2017,31,11890.26,1303.75,4343,6243.5,NA,NA,NA,3,"588","588"
"45",2017,31,43654,6705,31002,5947,NA,NA,NA,8,"602","602"
"46",2017,31,10005.5,1120,4400,4485.5,NA,NA,NA,4,"649","649"
"47",2017,32,11946.5,1490,4541,5915.5,NA,NA,NA,10,"509","509"
"48",2017,32,24653.5,2235,8514,13904.5,NA,NA,NA,12,"527","527"
"49",2017,32,27056.25,2745,15080,7895.5,1335.75,NA,NA,5,"529","529"
"50",2017,32,11890.26,1303.75,4343,6243.5,NA,NA,NA,5,"588","588"
"51",2017,32,43654,6705,31002,5947,NA,NA,NA,21,"602","602"
"52",2017,32,10375.5,1490,4400,4485.5,NA,NA,NA,2,"649","649"
"53",2017,33,NA,NA,NA,NA,NA,NA,NA,8,"505",NA
"54",2017,33,1490,1490,NA,NA,NA,NA,NA,6,"509","509"
"55",2017,33,2235,2235,NA,NA,NA,NA,NA,10,"527","527"
"56",2017,33,4688.25,3352.5,NA,NA,1335.75,NA,NA,5,"529","529"
"57",2017,33,NA,NA,NA,NA,NA,NA,NA,1,"582",NA
"58",2017,33,1303.76,1303.75,NA,NA,NA,NA,NA,5,"588","588"
"59",2017,33,6705,6705,NA,NA,NA,NA,NA,15,"602","602"
"60",2017,34,NA,NA,NA,NA,NA,NA,NA,4,"505",NA
"61",2017,34,1490,1490,NA,NA,NA,NA,NA,14,"509","509"
"62",2017,34,2235,2235,NA,NA,NA,NA,NA,7,"527","527"
"63",2017,34,4688.25,3352.5,NA,NA,1335.75,NA,NA,6,"529","529"
"64",2017,34,NA,NA,NA,NA,NA,NA,NA,1,"582",NA
"65",2017,34,1303.76,1303.75,NA,NA,NA,NA,NA,3,"588","588"
"66",2017,34,6705,6705,NA,NA,NA,NA,NA,21,"602","602"
"67",2017,34,1490,1490,NA,NA,NA,NA,NA,2,"649","649"
"68",2017,35,NA,NA,NA,NA,NA,NA,NA,12,"505",NA
"69",2017,35,11581,1490,4541,5550,NA,NA,NA,11,"509","509"
"70",2017,35,1367.75,NA,NA,NA,1367.75,NA,NA,3,"515","515"
"71",2017,35,24179.67,2235,8514,13430.67,NA,NA,NA,6,"527","527"
"72",2017,35,11990.17,3352.5,NA,8200.67,437,NA,NA,8,"529","529"
"73",2017,35,1303.76,1303.75,NA,NA,NA,NA,NA,5,"588","588"
"74",2017,35,43654,6705,31002,5947,NA,NA,NA,15,"602","602"
"75",2017,36,11581,1490,4541,5550,NA,NA,NA,9,"509","509"
"76",2017,36,28745.25,NA,6450,20927.5,1367.75,NA,NA,2,"515","515"
"77",2017,36,24179.67,2235,8514,13430.67,NA,NA,NA,18,"527","527"
"78",2017,36,26000.17,3352.5,14010,8200.67,437,NA,NA,2,"529","529"
"79",2017,36,43654,6705,31002,5947,NA,NA,NA,8,"602","602"
"80",2017,36,10435.33,1490,4400,4545.33,NA,NA,NA,1,"649","649"
"81",2017,37,NA,NA,NA,NA,NA,NA,NA,5,"505",NA
"82",2017,37,11581,1490,4541,5550,NA,NA,NA,12,"509","509"
"83",2017,37,28745.25,NA,27377.5,NA,1367.75,NA,NA,7,"515","515"
"84",2017,37,24179.67,2235,8514,13430.67,NA,NA,NA,9,"527","527"
"85",2017,37,26000.17,3352.5,14010,8200.67,437,NA,NA,7,"529","529"
"86",2017,37,11890.26,1303.75,4343,6243.5,NA,NA,NA,2,"588","588"
"87",2017,37,43654,6705,31002,5947,NA,NA,NA,11,"602","602"
"88",2017,37,10435.33,1490,4400,4545.33,NA,NA,NA,3,"649","649"
"89",2017,38,NA,NA,NA,NA,NA,NA,NA,7,"505",NA
"90",2017,38,1490,1490,NA,NA,NA,NA,NA,9,"509","509"
"91",2017,38,1367.75,NA,NA,NA,1367.75,NA,NA,11,"515","515"
"92",2017,38,2235,2235,NA,NA,NA,NA,NA,7,"527","527"
"93",2017,38,3789.5,3352.5,NA,NA,437,NA,NA,15,"529","529"
"94",2017,38,1303.76,1303.75,NA,NA,NA,NA,NA,10,"588","588"
"95",2017,38,6705,6705,NA,NA,NA,NA,NA,14,"602","602"
"96",2017,38,1490,1490,NA,NA,NA,NA,NA,1,"649","649"
"97",2017,39,NA,NA,NA,NA,NA,NA,NA,8,"505",NA
"98",2017,39,1192,1192,NA,NA,NA,NA,NA,13,"509","509"
"99",2017,39,1094.2,NA,NA,NA,1094.2,NA,NA,2,"515","515"
"100",2017,39,1788,1788,NA,NA,NA,NA,NA,17,"527","527"
"101",2017,39,2682,2682,NA,NA,NA,NA,NA,13,"529","529"
"102",2017,39,NA,NA,NA,NA,NA,NA,NA,2,"582",NA
"103",2017,39,1043,1043,NA,NA,NA,NA,NA,10,"588","588"
"104",2017,39,5364,5364,NA,NA,NA,NA,NA,18,"602","602"
"105",2017,40,NA,NA,NA,NA,NA,NA,NA,8,"505",NA
"106",2017,40,1192,1192,NA,NA,NA,NA,NA,15,"509","509"
"107",2017,40,1094.2,NA,NA,NA,1094.2,NA,NA,8,"515","515"
"108",2017,40,1788,1788,NA,NA,NA,NA,NA,10,"527","527"
"109",2017,40,2682,2682,NA,NA,NA,NA,NA,10,"529","529"
"110",2017,40,1043,1043,NA,NA,NA,NA,NA,16,"588","588"
"111",2017,40,5364,5364,NA,NA,NA,NA,NA,15,"602","602"
"112",2017,40,1192,1192,NA,NA,NA,NA,NA,6,"649","649"
"113",2017,41,NA,NA,NA,NA,NA,NA,NA,2,"505",NA
"114",2017,41,11648.5,1192,4541,5915.5,NA,NA,NA,16,"509","509"
"115",2017,41,7544.2,NA,6450,NA,1094.2,NA,NA,15,"515","515"
"116",2017,41,10302,1788,8514,NA,NA,NA,NA,12,"527","527"
"117",2017,41,26202.5,2682,15625,7895.5,NA,NA,NA,5,"529","529"
"118",2017,41,11389,1043,4343,6003,NA,NA,NA,9,"588","588"
"119",2017,41,4172,4172,NA,NA,NA,NA,NA,13,"602","602"
"120",2017,42,NA,NA,NA,NA,NA,NA,NA,4,"505",NA
"121",2017,42,11648.5,1192,4541,5915.5,NA,NA,NA,17,"509","509"
"122",2017,42,7544.2,NA,6450,NA,1094.2,NA,NA,12,"515","515"
"123",2017,42,10302,1788,8514,NA,NA,NA,NA,10,"527","527"
"124",2017,42,26202.5,2682,15625,7895.5,NA,NA,NA,2,"529","529"
"125",2017,42,NA,NA,NA,NA,NA,NA,NA,1,"582",NA
"126",2017,42,11389,1043,4343,6003,NA,NA,NA,6,"588","588"
"127",2017,42,5364,5364,NA,NA,NA,NA,NA,20,"602","602"
"128",2017,42,10077.5,1192,4400,4485.5,NA,NA,NA,2,"649","649"
"129",2017,43,1192,1192,NA,NA,NA,NA,NA,12,"509","509"
"130",2017,43,1094.2,NA,NA,NA,1094.2,NA,NA,5,"515","515"
"131",2017,43,1788,1788,NA,NA,NA,NA,NA,11,"527","527"
"132",2017,43,2682,2682,NA,NA,NA,NA,NA,2,"529","529"
"133",2017,43,1043,1043,NA,NA,NA,NA,NA,9,"588","588"
"134",2017,43,5364,5364,NA,NA,NA,NA,NA,18,"602","602"
"135",2017,43,1192,1192,NA,NA,NA,NA,NA,1,"649","649"
"136",2017,44,NA,NA,NA,NA,NA,NA,NA,2,"505",NA
"137",2017,44,1490,1490,NA,NA,NA,NA,NA,19,"509","509"
"138",2017,44,1367.75,NA,NA,NA,1367.75,NA,NA,6,"515","515"
"139",2017,44,2235,2235,NA,NA,NA,NA,NA,13,"527","527"
"140",2017,44,3352.5,3352.5,NA,NA,NA,NA,NA,4,"529","529"
"141",2017,44,1303.76,1303.75,NA,NA,NA,NA,NA,7,"588","588"
"142",2017,44,6705,6705,NA,NA,NA,NA,NA,19,"602","602"
"143",2017,44,1490,1490,NA,NA,NA,NA,NA,1,"649","649"
"144",2017,45,445,445,NA,NA,NA,NA,NA,12,"509","509"
"145",2017,45,1367.75,NA,NA,NA,1367.75,NA,NA,5,"515","515"
"146",2017,45,667.5,667.5,NA,NA,NA,NA,NA,23,"527","527"
"147",2017,45,1001.25,1001.25,NA,NA,NA,NA,NA,3,"529","529"
"148",2017,45,389.39,389.375,NA,NA,NA,NA,NA,7,"588","588"
"149",2017,45,2002.5,2002.5,NA,NA,NA,NA,NA,7,"602","602"
"150",2017,46,NA,NA,NA,NA,NA,NA,NA,1,"505",NA
"151",2017,46,445,445,NA,NA,NA,NA,NA,18,"509","509"
"152",2017,46,667.5,667.5,NA,NA,NA,NA,NA,5,"527","527"
"153",2017,46,1001.25,1001.25,NA,NA,NA,NA,NA,1,"529","529"
"154",2017,46,389.39,389.375,NA,NA,NA,NA,NA,4,"588","588"
"155",2017,46,2002.5,2002.5,NA,NA,NA,NA,NA,7,"602","602"
"156",2017,47,445,445,NA,NA,NA,NA,NA,1,"509","509"
"157",2017,47,667.5,667.5,NA,NA,NA,NA,NA,1,"527","527"
"158",2017,47,1001.25,1001.25,NA,NA,NA,NA,NA,1,"529","529"
"159",2017,47,389.39,389.375,NA,NA,NA,NA,NA,1,"588","588"
"160",2017,47,2002.5,2002.5,NA,NA,NA,NA,NA,2,"602","602"
"161",2017,48,NA,NA,NA,NA,NA,NA,NA,3,"505",NA
"162",2017,48,356,356,NA,NA,NA,NA,NA,11,"509","509"
"163",2017,48,534,534,NA,NA,NA,NA,NA,4,"527","527"
"164",2017,48,801,801,NA,NA,NA,NA,NA,2,"529","529"
"165",2017,48,311.5,311.5,NA,NA,NA,NA,NA,4,"588","588"
"166",2017,48,1602,1602,NA,NA,NA,NA,NA,20,"602","602"
"167",2017,49,NA,NA,NA,NA,NA,NA,NA,6,"505",NA
"168",2017,49,1256,1256,NA,NA,NA,NA,NA,8,"509","509"
"169",2017,49,1094.2,NA,NA,NA,1094.2,NA,NA,2,"515","515"
"170",2017,49,1884,1884,NA,NA,NA,NA,NA,9,"527","527"
"171",2017,49,2826,2826,NA,NA,NA,NA,NA,2,"529","529"
"172",2017,49,1099,1099,NA,NA,NA,NA,NA,5,"588","588"
"173",2017,49,5652,5652,NA,NA,NA,NA,NA,12,"602","602"
"174",2017,50,NA,NA,NA,NA,NA,NA,NA,1,"505",NA
"175",2017,50,10456.5,0,4541,5915.5,NA,NA,NA,5,"509","509"
"176",2017,50,29786.7,NA,6450,22242.5,1094.2,NA,NA,1,"515","515"
"177",2017,50,22466,NA,8514,13952,NA,NA,NA,9,"527","527"
"178",2017,50,24784,2826,14062.5,7895.5,NA,NA,NA,2,"529","529"
"179",2017,50,NA,NA,NA,NA,NA,NA,NA,1,"582",NA
"180",2017,50,11327.5,1099,4343,5885.5,NA,NA,NA,3,"588","588"
"181",2017,50,42601,5652,31002,5947,NA,NA,NA,10,"602","602"
"182",2017,50,10141.5,1256,4400,4485.5,NA,NA,NA,1,"649","649"
"183",2017,51,NA,NA,NA,NA,NA,NA,NA,3,"505",NA
"184",2017,51,11712.5,1256,4541,5915.5,NA,NA,NA,9,"509","509"
"185",2017,51,29786.7,NA,6450,22242.5,1094.2,NA,NA,1,"515","515"
"186",2017,51,24350,1884,8514,13952,NA,NA,NA,3,"527","527"
"187",2017,51,24784,2826,14062.5,7895.5,NA,NA,NA,1,"529","529"
"188",2017,51,11327.5,1099,4343,5885.5,NA,NA,NA,4,"588","588"
"189",2017,51,41345,4396,31002,5947,NA,NA,NA,10,"602","602"
"190",2017,52,1256,1256,NA,NA,NA,NA,NA,7,"509","509"
"191",2017,52,1094.2,NA,NA,NA,1094.2,NA,NA,3,"515","515"
"192",2017,52,1884,1884,NA,NA,NA,NA,NA,2,"527","527"
"193",2017,52,2826,2826,NA,NA,NA,NA,NA,3,"529","529"
"194",2017,52,5652,5652,NA,NA,NA,NA,NA,4,"602","602"
"195",2017,52,1256,1256,NA,NA,NA,NA,NA,1,"649","649"
